Sub-Category,Mean_Profit,T_Statistic,P_Value_One_Sided,N_LossTest,CI_Lower_LossTest,CI_Upper_LossTest,Significant_Loss_Leader,Elasticity,CI_Lower_Elasticity,CI_Upper_Elasticity,P_Value,N_Elasticity,R_Squared,Elasticity_Label,Baseline_Sales,Baseline_Profit,Baseline_Quantity,Baseline_Cost,Price_Adjustment,Demand_Multiplier_5pct,Projected_Sales_5pct,Projected_Variable_Cost_5pct,Projected_Profit_5pct,Projected_Profit_Delta_5pct,Modeled_Volume_Change_5pct,Can_Safely_Increase_5pct,Would_Lose_Volume,Executive_Recommendation
Tables,-55.56577147335423,-4.304367029800403,1.1163246379303217e-05,319,-80.96392747695897,-30.167615469749496,True,0.004023031379665431,-0.10893423820518133,0.1169803009645122,0.9443487659289987,319,0.030697511368572017,No modeled volume decline,206965.532,-17725.4811,1241,224691.0131,0.05,1.0001963036265085,217356.46808871857,224735.1207607154,-7378.652671996824,10346.828428003177,0.000196303626508465,True,False,Controlled 5% price increase candidate; loss-leader signal is significant and modeled volume risk is not elastic.
Furnishings,13.645918077324975,8.002205251619827,0.9999999999999982,957,10.299414077090834,16.992422077559116,False,-0.018873852434543543,-0.052061802697259726,0.01431409782817264,0.2650117731364723,957,0.004385340844375585,Modeled volume decline,91705.164,13059.1436,3563,78646.02040000001,0.05,0.9990795655011525,96201.79317349855,78573.63188962679,17628.161283871756,4569.017683871756,-0.0009204344988474888,False,True,A 5% increase is modeled to reduce volume; validate with a controlled pricing test before rollout.
Paper,24.8566199270073,26.11852898358949,1.0,1370,22.989700464958155,26.723539389056448,False,-0.014042994575523616,-0.050521088057685536,0.0224350989066383,0.4505318984955068,1370,0.0010329223765709328,Modeled volume decline,78479.206,34053.5693,5178,44425.6367,0.05,0.9993150746577517,82346.72628311964,44395.20845557866,37951.517827540985,3897.9485275409825,-0.0006849253422482882,False,True,A 5% increase is modeled to reduce volume; validate with a controlled pricing test before rollout.
Envelopes,27.41801850393701,12.359539625404151,1.0,254,23.049196473340768,31.78684053453325,False,-0.006302632904325993,-0.07269863476166769,0.0600933689530157,0.8524060551167754,254,0.004045617952919467,Modeled volume decline,16476.402,6964.1767,906,9512.225299999998,0.05,0.9996925407811743,17294.902987227622,9509.300678639966,7785.602308587657,821.4256085876568,-0.0003074592188256897,False,True,A 5% increase is modeled to reduce volume; validate with a controlled pricing test before rollout.
Phones,50.07393768278965,13.183159872911041,1.0,889,42.61919495497163,57.52868041060766,False,-0.005010613121634765,-0.04150838047225422,0.031487154228984696,0.7878722949090201,889,0.006714960850759399,Modeled volume decline,330007.054,44515.7306,3289,285491.3234,0.05,0.9997555612432282,346422.70686029404,285421.53825583897,61001.16860445507,16485.43800445507,-0.00024443875677182536,False,True,A 5% increase is modeled to reduce volume; validate with a controlled pricing test before rollout.
Bookcases,-15.230508771929824,-1.2633648417158856,0.10387704720343631,228,-38.98552569680935,8.524508152949696,False,0.0034171123608712772,-0.13525030419458178,0.14208452891632434,0.9614784135518967,228,0.035184871003181684,No modeled volume decline,114879.9963,-3472.556,868,118352.5523,0.05,1.0001667353718695,120644.10840184863,118372.28585681944,2271.822545029194,5744.378545029194,0.0001667353718695086,False,False,No statistically significant loss-leader signal.
Supplies,-6.258418421052631,-0.8211179326318545,0.20630680596045214,190,-21.29319587469536,8.776359032590097,False,0.018284766048465063,-0.036114285941046584,0.0726838180379767,0.51003143887614,190,0.010694008407478361,No modeled volume decline,46673.538,-1189.0995,647,47862.6375,0.05,1.0008925147918024,49050.95456420329,47905.35561194342,1145.5989522598684,2334.6984522598686,0.0008925147918024123,False,False,No statistically significant loss-leader signal.
Fasteners,4.375659907834101,12.751101999820275,1.0,217,3.6992902596724777,5.052029555995724,False,0.08199391181972676,-0.059392292393831814,0.22338011603328534,0.2556891100785833,217,0.04762011612577255,No modeled volume decline,3024.28,949.5182,914,2074.7618,0.05,1.004008509085695,3188.22299655057,2083.078501525953,1105.1444950246168,155.62629502461687,0.004008509085694945,False,False,No statistically significant loss-leader signal.
Art,8.20073743718593,17.286813568506272,1.0,796,7.269527209550409,9.131947664821451,False,0.008717990164315105,-0.035921297712869116,0.053357278041499326,0.7018842186759013,796,0.0059352144714197586,No modeled volume decline,27118.792,6527.787,3000,20591.005,0.05,1.0004254426464068,28486.845965167628,20599.765291659376,7887.0806735082515,1359.2936735082512,0.00042544264640675955,False,False,No statistically significant loss-leader signal.
Labels,15.236961538461538,8.528976019756822,0.9999999999999998,364,11.723784892692755,18.75013818423032,False,0.06788423624060946,-0.015154761623496563,0.15092323410471548,0.10909654738408794,364,0.024685041825561305,No modeled volume decline,12486.312,5546.254,1400,6940.058,0.05,1.0033175740382476,13154.123077750892,6963.082156244733,6191.040921506159,644.7869215061592,0.003317574038247617,False,False,No statistically significant loss-leader signal.
